"EMP2 - Emplois au lieu de travail par sexe, statut et secteur d'activité économique en 2020"
"France entière"
"© Insee"


"EMP2 - Secteur simplifié en 5 postes - Sexe : Ensemble"
"";"Salariés";"Non salariés";"Ensemble";
"Agriculture, sylviculture et pêche";"285778";"397571";"683350";
"Industrie manufacturière, industries extractives et autres";"2992368";"202428";"3194796";
"Construction";"1320540";"414675";"1735215";
"Commerce, transports et services divers";"11014493";"1771517";"12786010";
"Administration publique, enseignement, santé humaine et action sociale";"8094279";"551418";"8645697";
"Ensemble";"23707458";"3337609";"27045067";

"Source : Insee, RP2020 exploitation complémentaire, géographie au 01/01/2023."


"EMP2 - Secteur simplifié en 5 postes - Sexe : Hommes"
"";"Salariés";"Non salariés";"Ensemble";
"Agriculture, sylviculture et pêche";"191383";"294176";"485559";
"Industrie manufacturière, industries extractives et autres";"2092642";"142052";"2234694";
"Construction";"1134858";"394427";"1529285";
"Commerce, transports et services divers";"5817776";"1101127";"6918904";
"Administration publique, enseignement, santé humaine et action sociale";"2516010";"225632";"2741642";
"Ensemble";"11752670";"2157415";"13910084";

"Source : Insee, RP2020 exploitation complémentaire, géographie au 01/01/2023."


"EMP2 - Secteur simplifié en 5 postes - Sexe : Femmes"
"";"Salariés";"Non salariés";"Ensemble";
"Agriculture, sylviculture et pêche";"94395";"103395";"197790";
"Industrie manufacturière, industries extractives et autres";"899726";"60376";"960102";
"Construction";"185682";"20248";"205930";
"Commerce, transports et services divers";"5196717";"670389";"5867106";
"Administration publique, enseignement, santé humaine et action sociale";"5578269";"325786";"5904055";
"Ensemble";"11954788";"1180194";"13134982";

"Source : Insee, RP2020 exploitation complémentaire, géographie au 01/01/2023."


"EMP2 - Secteur regroupé en 17 postes - Sexe : Ensemble"
"";"Salariés";"Non salariés";"Ensemble";
"Agriculture, sylviculture et pêche";"285778";"397571";"683350";
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac";"543661";"57671";"601332";
"Cokéfaction et raffinage";"8608";"106";"8714";
"Fabrication d'équipements électriques, électroniques, informatiques et fabrication de machines";"380784";"9660";"390444";
"Fabrication de matériels de transport";"324190";"3722";"327912";
"Fabrication d'autres produits industriels";"1342302";"120582";"1462884";
"Industries extractives, énergie, eau, gestion des déchets et dépollution";"392823";"10687";"403510";
"Construction";"1320540";"414675";"1735215";
"Commerce, réparation d'automobiles et de motocycles";"2958550";"460008";"3418559";
"Transports et entreposage";"1293876";"89996";"1383872";
"Hébergement et restauration";"911102";"181694";"1092797";
"Information et communication";"757444";"100290";"857734";
"Activités financières et d'assurance";"873084";"60332";"933416";
"Activités immobilières";"309680";"79305";"388985";
"Activités scientifiques et techniques, services administratifs et de soutien";"2835687";"502485";"3338172";
"Administration publique, enseignement, santé humaine et action sociale";"8094279";"551418";"8645697";
"Autres activités de services";"1075070";"297405";"1372475";
"Ensemble";"23707458";"3337609";"27045067";

